tissue,ethnicity_raw,sex_raw,ethnicity,sex
Adipose,European,male,European,male
Adipose,European,male,European,male
Adipose,Asian,female,Asian,female
Adipose,Asian,female,Asian,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,European,female,European,female
Adipose,European,male,European,male
Adipose,Other,female,Other,female
Adipose,Other,female,Other,female
Adipose,European,male,European,male
Adipose,,female,Unknown,female
Adipose,Other,female,Other,female
Adipose,European,female,European,female
Adipose,European,female,European,female
Adipose,European,female,European,female
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,,,Unknown,Unknown
Adipose,European,female,European,female
Adipose,African,female,African,female
Adipose,European,female,European,female
Adipose,African,female,African,female
Adipose,European,female,European,female
Adipose,European,male,European,male
Adipose,European,female,European,female
Adipose,American,male,Latino,male
Adipose,American,male,Latino,male
Adipose,American,male,Latino,male
Adipose,Asian,male,Asian,male
Adipose,American,male,Latino,male
Adipose,American,male,Latino,male
Adipose,European,male,European,male
Adipose,American,male,Latino,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Adipose,,male,Unknown,male
Adipose,,female,Unknown,female
Adipose,,male,Unknown,male
Breast,African,female,African,female
Breast,European,female,European,female
Breast,European ,female,European,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,European ,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,,female,Unknown,female
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,,unknown,Unknown,Unknown
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,Asian,female,Asian,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,Asian,female,Asian,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,male,European,male
Breast,European,male,European,male
Breast,Asian,female,Asian,female
Breast,Asian,female,Asian,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,Asian,female,Asian,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,American,female,Latino,female
Breast,European,female,European,female
Breast,Unknown,female,Unknown,female
Breast,Unknown,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,Unknown,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,Unknown,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,Unknown,female,Unknown,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,Unknown,female,Unknown,female
Breast,Unknown,female,Unknown,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,American,female,Latino,female
Breast,American,female,Latino,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,African,female,African,female
Breast,European,female,European,female
Breast,African,female,African,female
Breast,African,female,African,female
