cancer_type,sex,taiwan_age_std_rate_per_100k,taiwan_case_count
Breast,male,0.0,0
Breast,female,91.97,17366
Lung,male,45.85,9417
Lung,female,38.52,8565
Colorectal,male,49.75,9989
Colorectal,female,33.47,7654
Skin,male,10.61,2246
Skin,female,7.83,1960
Liver,male,35.78,7244
Liver,female,12.69,3189
Pancreas,male,8.29,1698
Pancreas,female,6.63,1536
Ovary,male,0.0,0
Ovary,female,10.61,1859
Cervix,male,0.0,0
Cervix,female,7.55,1384
Blood Tumors,male,20.32,3515
Blood Tumors,female,14.92,2789
Brain,male,2.96,405
Brain,female,2.15,334
